date,UMDF Channel Equities,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200130,"MBO Ch.51 - Mining - cash, termo, auction",1.853.702,1.255,"   1,1773",1255,"   0,7553"
20200130,"MBO Ch.52 - Mining - options, exercise, strategies",20.242.722,10.568,"   6,1985",8463,"   4,9661"
20200130,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.917.937,1.134,"   0,9147",812,"   0,4686"
20200130,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",13.617.592,10.895,"   6,3440",6233,"   3,7154"
20200130,"MBO Ch.55 - Banks - cash, termo, auction",10.373.640,2.662,"   2,5643",2662,"   1,6941"
20200130,"MBO Ch.56 - Banks - options, exercise, strategies",9.963.150,6.032,"   3,8964",3332,"   2,1443"
20200130,"MBO Ch.57 - Other instruments - cash, termo, auction",10.580.323,3.426,"   3,6404",3426,"   2,0441"
20200130,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.818.017,2.848,"   1,9850",1396,"   0,9144"
20200130,MBO Ch.59 - OTC,12.362,85,"   0,1011",0,0
20200130,MBO Ch.60 - IBOVESPA Options,8.689.013,4.690,"   3,1817",1275,"   0,7088"
20200130,MBO Ch.62 - Index e Iopv,3.448,25,"   0,0459",0,0
20200131,Peak of Messages -,0,0,0,0,
20200131,"MBO Ch.51 - Mining - cash, termo, auction",1.749.736,1.113,"   1,6139",0,0
20200131,"MBO Ch.52 - Mining - options, exercise, strategies",20.149.508,9.285,"   5,6766",0,0
20200131,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",2.078.507,790,"   1,2643",0,0
20200131,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",14.425.075,6.648,"   3,8751",0,0
20200131,"MBO Ch.55 - Banks - cash, termo, auction",10.769.599,2.893,"   3,1044",0,0
20200131,"MBO Ch.56 - Banks - options, exercise, strategies",10.124.344,7.241,"   4,5955",0,0
20200131,"MBO Ch.57 - Other instruments - cash, termo, auction",10.473.704,2.729,"   4,3817",0,0
20200131,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.304.125,2.864,"   2,0834",0,0
20200131,MBO Ch.59 - OTC,15.108,94,"   0,1028",0,0
20200131,MBO Ch.60 - IBOVESPA Options,11.004.982,4.482,"   3,0260",0,0
20200131,MBO Ch.62 - Index e Iopv,3.499,39,"   0,0447",0,0
20200203,Peak of Messages - 12:00:00,0,0,0,36867,"  22,6273"
20200203,"MBO Ch.51 - Mining - cash, termo, auction",1.606.943,1.240,"   1,1466",1108,"   0,7103"
20200203,"MBO Ch.52 - Mining - options, exercise, strategies",19.075.492,9.725,"   5,7293",9011,"   5,3892"
